behavior_session_id,ophys_session_id,ophys_container_id,mouse_id,indicator,full_genotype,driver_line,cre_line,reporter_line,sex,age_in_days,imaging_plane_group_count,project_code,session_type,session_number,image_set,behavior_type,experience_level,prior_exposures_to_session_type,prior_exposures_to_image_set,prior_exposures_to_omissions,date_of_acquisition,equipment_name,num_depths_per_area,ophys_experiment_id,num_targeted_structures,correct_reject_trial_count,catch_trial_count,go_trial_count,miss_trial_count,trial_count,file_id,false_alarm_trial_count,engaged_trial_count,hit_trial_count,auto_reward_count,earned_reward_count,total_reward_count,total_reward_volume,maximum_reward_rate,mean_hit_rate,mean_hit_rate_uncorrected,mean_hit_rate_engaged,mean_false_alarm_rate,mean_false_alarm_rate_uncorrected,mean_false_alarm_rate_engaged,mean_dprime,mean_dprime_engaged,max_dprime,max_dprime_engaged,mean_running_speed,mean_pupil_area,mean_dff
803341010,803223329.0,[814797528],421136,GCaMP6f,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,['Vip-IRES-Cre'],Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),M,127,,VisualBehavior,OPHYS_1_images_A,1,images_A,active_behavior,Familiar,1,14,9,04-01-19 9:50,CAM2P.5,1.0,[803736273],1.0,25,29,213,155,725,-999,4,102,58,0,58,58,0.406,2.947614021,0.33460322,0.336669335,0.363621375,0.199890953,0.219616935,0.349472991,0.499478829,0.109256913,1.029599598,0.686975155,0.014991626,1.125949197,0.024484397
805373492,805269503.0,[814797528],421136,GCaMP6f,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,['Vip-IRES-Cre'],Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),M,131,,VisualBehavior,OPHYS_4_images_B,4,images_B,active_behavior,Novel >1,1,3,11,08-01-19 9:43,CAM2P.5,1.0,[805784331],1.0,17,22,158,94,857,-999,5,141,64,0,64,64,0.448,3.245726224,0.641891928,0.653423151,0.884184886,0.401985321,0.432766597,0.60485348,0.788794103,0.936645634,1.465233793,1.195467437,1.897038348,1.281293495,0.02663802
808107647,808092249.0,[814797528],421136,GCaMP6f,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,['Vip-IRES-Cre'],Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),M,137,,VisualBehavior,OPHYS_6_images_B,6,images_B,active_behavior,Novel >1,1,5,14,14-01-19 9:41,CAM2P.5,1.0,[808621958],1.0,13,16,113,27,1027,-999,3,194,86,0,86,86,0.602,4.483181879,0.890165138,0.906164232,0.893542149,0.405649423,0.438202377,0.367209642,1.628961583,1.641987862,2.508050479,1.93011099,7.692182558,1.654406471,0.030341256
821521826,821471625.0,[803516615],423606,GCaMP6s,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),M,150,,VisualBehavior,OPHYS_1_images_A,1,images_A,active_behavior,Familiar,3,20,14,12-02-19 10:11,CAM2P.3,1.0,[822024770],1.0,30,33,227,94,649,-999,3,417,133,0,133,133,0.931,4.572923403,0.711188861,0.717803128,0.804398297,0.180352468,0.175251735,0.231253756,1.763066722,1.865129387,2.759510729,2.759510729,18.68885265,1.151017066,0.007914329
822995693,822734832.0,[803516615],423606,GCaMP6s,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),M,152,,VisualBehavior,OPHYS_3_images_A,3,images_A,active_behavior,Familiar,1,22,16,14-02-19 10:36,CAM2P.3,1.0,[823392290],1.0,30,38,255,107,577,-999,8,389,148,0,148,148,1.036,4.753826471,0.709552345,0.715833453,0.824033448,0.300662898,0.325836509,0.39015423,1.276226612,1.348088809,2.220731231,2.220731231,22.51569128,1.19360434,0.006900022
824625446,824433631.0,[803516615],423606,GCaMP6s,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),M,156,,VisualBehavior,OPHYS_4_images_B,4,images_B,active_behavior,Novel >1,1,5,17,18-02-19 9:56,CAM2P.3,1.0,[825120601],1.0,36,39,273,124,578,-999,3,399,149,0,149,149,1.043,5.278430119,0.691074098,0.69740739,0.914339007,0.125608678,0.086646938,0.164906352,1.910758096,2.494730781,3.245725995,3.245725995,21.65302183,1.362815814,0.009795661
825801398,825682144.0,[803516615],423606,GCaMP6s,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),M,158,,VisualBehavior,OPHYS_6_images_B,6,images_B,active_behavior,Novel >1,3,7,19,20-02-19 9:25,CAM2P.3,1.0,[826585773],1.0,41,43,295,219,545,-999,2,155,76,0,76,76,0.532,4.365035556,0.383456344,0.389216439,0.882106172,0.092637361,0.063889986,0.19025974,0.996375345,2.136899024,2.801336202,2.801336202,18.96534404,1.249271151,0.008663428
806109931,805989030.0,[803517529],425493,GCaMP6f,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),M,106,,VisualBehavior,OPHYS_1_images_A,1,images_A,active_behavior,Familiar,0,8,2,09-01-19 11:48,CAM2P.4,1.0,[806456687],1.0,29,34,237,78,635,-999,5,543,159,0,159,159,1.113,4.297050827,0.736065722,0.740294118,0.753937251,0.187803525,0.15756178,0.204697993,1.654451245,1.619955195,2.249224872,2.249224872,6.497491911,,0.007953384
807356557,807208045.0,[803517529],425493,GCaMP6f,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),M,108,,VisualBehavior,OPHYS_3_images_A,3,images_A,active_behavior,Familiar,0,10,4,11-01-19 11:42,CAM2P.4,1.0,[807752719],1.0,14,21,155,24,912,-999,7,641,131,0,131,131,0.917,4.014579981,0.778865255,0.770342528,0.788056121,0.274187321,0.250663511,0.268079863,1.446276781,1.488556796,2.062261582,2.062261582,2.265763533,1.573534388,0.006968016
808324301,808107961.0,[803517529],425493,GCaMP6f,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),M,111,,VisualBehavior,OPHYS_4_images_B,4,images_B,active_behavior,Novel 1,0,0,5,14-01-19 12:09,CAM2P.4,1.0,[808619543],1.0,28,30,221,45,796,-999,2,707,176,0,176,176,1.232,4.671510215,0.881368901,0.888048603,0.896601319,0.134342651,0.067104748,0.135123516,2.43099878,2.480663494,2.930467585,2.930467585,8.004289759,1.691252912,0.013315717
