experience_level,mouse_id,mean_false_alarm_rate,mean_hit_rate,mean_dprime,mean_false_alarm_rate_engaged,mean_hit_rate_engaged,mean_dprime_engaged,miss_trial_rate
Familiar,403491,0.47575157415003605,0.6222905746907517,0.3739220491576201,0.42156880156880155,0.6825661759044134,0.7485722591890885,0.05333062939450931
Familiar,412036,0.3134251581231918,0.6036580126815314,0.8987539013309201,0.4642350928641251,0.60217186162257,0.36839998366396515,0.06822541321118171
Familiar,412366,0.6690222736773819,0.4941190979539173,-0.5010694626610434,0.7193292070313634,0.5061099488573413,-0.6093780508839555,0.08370843907366729
Familiar,421136,0.32171228832687415,0.5283849878651851,0.6362081323238553,0.38676318909312163,0.5931441807449649,0.6029102796346582,0.15875210655015232
Familiar,423606,0.1850767427459776,0.4443990254044731,0.685321716319024,0.2631754184207836,0.7293087182951883,1.415987172769927,0.31823342497675455
Familiar,425493,0.23099542275214385,0.7574654887917112,1.5503640134425603,0.23638892755733815,0.7709966856396316,1.5542559955446085,0.07457521757148777
Familiar,425496,0.2598171836948673,0.7441364564638815,1.3966473317767734,0.23525745904213413,0.7858053061594921,1.5642243501504545,0.08598176082310131
Familiar,429952,0.0659693032150877,0.03135374971322945,-0.4958755981397595,,,,0.7436946608069314
Familiar,431023,0.32935062111783414,0.5407674367641544,0.5963204081447641,0.4232033273820306,0.631910715183956,0.5754901850766834,0.18467696112302937
Familiar,431252,0.1802725791853569,0.334952436869203,0.5130954891025538,0.25933698907721897,0.4658077918287005,0.6159121912359852,0.2582068050828262
Familiar,436662,0.13301762473511836,0.42161538884838756,0.9929985799352447,0.13627518406276015,0.4497647972901859,1.0397267481269092,0.22440662645908332
Familiar,440298,0.49844133966930115,0.7203555781466607,0.7216758860636968,0.5301140552358389,0.7637665500294668,0.7735512252146526,0.0773292539439341
Familiar,442709,0.287109392886697,0.661930217283229,1.050246257054512,0.2900027514072398,0.6722960208793242,1.071473181705769,0.05923352304527457
Familiar,445002,0.19547325391375936,0.7536767543219708,1.7586433346030823,0.22764472549308612,0.8457850661604747,1.939879453124643,0.1258262255301425
Familiar,445270,0.21469102278560823,0.35914916592962975,0.42794140568426964,0.31871814406703636,0.5079070939208957,0.6069702694660294,0.34299229607814485
