"
stimulus_presentations_id","stimulus_block
","stimulus_block_name
","image_index
","image_name
","movie_frame_index
","duration
","start_time
","end_time
","start_frame
","end_frame
","is_change
","is_image_novel
","omitted
","movie_repeat
","flashes_since_change
","trials_id
","is_sham_change
","stimulus_name
","active
"
5140,3,natural_movie_one,-99,NaN,332,0.03339,4225.896366,4225.929756,252920,252921,False,<NA>,<NA>,0,339,-99,False,natural_movie_one,False
5141,3,natural_movie_one,-99,NaN,333,0.03336,4225.929756,4225.963116,252922,252923,False,<NA>,<NA>,0,340,-99,False,natural_movie_one,False
5142,3,natural_movie_one,-99,NaN,334,0.03341,4225.963116,4225.996526,252924,252925,False,<NA>,<NA>,0,341,-99,False,natural_movie_one,False
5143,3,natural_movie_one,-99,NaN,335,0.03331,4225.996526,4226.029836,252926,252927,False,<NA>,<NA>,0,342,-99,False,natural_movie_one,False
5144,3,natural_movie_one,-99,NaN,336,0.03342,4226.029836,4226.063256,252928,252929,False,<NA>,<NA>,0,343,-99,False,natural_movie_one,False
5145,3,natural_movie_one,-99,NaN,337,0.03330,4226.063256,4226.096556,252930,252931,False,<NA>,<NA>,0,344,-99,False,natural_movie_one,False
5146,3,natural_movie_one,-99,NaN,338,0.03345,4226.096556,4226.130006,252932,252933,False,<NA>,<NA>,0,345,-99,False,natural_movie_one,False
5147,3,natural_movie_one,-99,NaN,339,0.03334,4226.130006,4226.163346,252934,252935,False,<NA>,<NA>,0,346,-99,False,natural_movie_one,False
5148,3,natural_movie_one,-99,NaN,340,0.03328,4226.163346,4226.196626,252936,252937,False,<NA>,<NA>,0,347,-99,False,natural_movie_one,False
5149,3,natural_movie_one,-99,NaN,341,0.03339,4226.196626,4226.230016,252938,252939,False,<NA>,<NA>,0,348,-99,False,natural_movie_one,False
5150,3,natural_movie_one,-99,NaN,342,0.03344,4226.230016,4226.263456,252940,252941,False,<NA>,<NA>,0,349,-99,False,natural_movie_one,False
5151,3,natural_movie_one,-99,NaN,343,0.03347,4226.263456,4226.296926,252942,252943,False,<NA>,<NA>,0,350,-99,False,natural_movie_one,False
5152,3,natural_movie_one,-99,NaN,344,0.03322,4226.296926,4226.330146,252944,252945,False,<NA>,<NA>,0,351,-99,False,natural_movie_one,False
5153,3,natural_movie_one,-99,NaN,345,0.03339,4226.330146,4226.363536,252946,252947,False,<NA>,<NA>,0,352,-99,False,natural_movie_one,False
5154,3,natural_movie_one,-99,NaN,346,0.03331,4226.363536,4226.396846,252948,252949,False,<NA>,<NA>,0,353,-99,False,natural_movie_one,False
