timestamps,cell_specimen_id,dff,session_type,behavior_session_id,cre_line,pupil_area,speed
308.37888,1086489601,-0.02921873,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3255.0005,-0.43092895
308.4112,1086489601,-0.039527852,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3111.2312,-0.39001444
308.44348,1086489601,-0.061775427,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3087.174,-0.17471614
308.4758,1086489601,0.010755017,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,2889.4614,0.12459036
308.5081,1086489601,0.011281774,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,2954.6528,0.38190794
308.5404,1086489601,0.0685998,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,2953.883,0.5033368
308.5727,1086489601,0.11748062,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3036.2952,0.41320089
308.605,1086489601,0.044847954,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,2925.4646,0.13795114
308.6373,1086489601,0.07899891,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,2890.74,-0.16009125
308.66962,1086489601,0.030070398,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,2739.597,-0.29576144
308.70193,1086489601,-0.0569607,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,2631.6853,-0.22911732
308.73422,1086489601,0.10437552,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,2696.0935,-0.058231797
308.7665,1086489601,0.0011851594,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,2735.229,0.078544974
308.79883,1086489601,0.04887461,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,2846.1602,0.08198382
308.83112,1086489601,0.15115361,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,2961.471,-0.039377242
308.86343,1086489601,0.022287024,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,2940.847,-0.15949023
308.89575,1086489601,0.017582042,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,2919.4282,-0.1530297
308.92804,1086489601,-0.021440579,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3204.2234,-0.016893182
308.96036,1086489601,0.059711475,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3314.5146,0.13658756
308.99265,1086489601,0.005769617,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3245.0698,0.19921291
309.02496,1086489601,0.033456948,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3486.2024,0.17160018
309.05725,1086489601,0.0121238725,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3492.1423,0.09562959
309.08957,1086489601,-0.0076649007,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3545.8843,-0.008967194
309.12186,1086489601,0.022069525,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3606.2842,-0.10841619
309.15417,1086489601,0.07543042,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3460.6843,-0.15775056
309.18646,1086489601,0.056721658,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3582.9187,-0.104323
309.21878,1086489601,0.08089396,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3415.855,0.03270661
309.25107,1086489601,-0.025142165,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3503.6135,0.11492369
309.2834,1086489601,0.041123785,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3309.9753,0.04309971
309.3157,1086489601,-0.056275614,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3167.4602,-0.10670302
309.348,1086489601,-0.09516392,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3565.5288,-0.17623957
309.3803,1086489601,0.030717593,OPHYS_6_images_B,788017709,Slc17a7-IRES2-Cre,3548.1865,-0.10097293
