ophys_experiment_id,equipment_name,full_genotype,mouse_id,reporter_line,driver_line,sex,age_in_days,cre_line,indicator,session_number,prior_exposures_to_session_type,prior_exposures_to_image_set,prior_exposures_to_omissions,ophys_session_id,behavior_session_id,ophys_container_id,project_code,imaging_depth,targeted_structure,date_of_acquisition,session_type,experience_level,passive,image_set,file_id,cell_type
880961028,CAM2P.3,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,450471,Ai93(TITL-GCaMP6f),"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",F,130,Slc17a7-IRES2-Cre,GCaMP6f,6,0,2,12,880753403,880784794,869781307,VisualBehavior,175,VISp,43620.83909,OPHYS_6_images_B,Novel >1,FALSE,B,881007940,Excitatory
873968820,CAM2P.4,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,448900,Ai94(TITL-GCaMP6s),"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",M,128,Slc17a7-IRES2-Cre,GCaMP6s,1,2,21,7,873653940,873846349,863992815,VisualBehavior,175,VISp,43607.79814,OPHYS_1_images_A,Familiar,FALSE,A,874234035,Excitatory
877018118,CAM2P.4,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,448900,Ai94(TITL-GCaMP6s),"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",M,134,Slc17a7-IRES2-Cre,GCaMP6s,3,1,24,10,876522267,876660021,863992815,VisualBehavior,175,VISp,43613.74009,OPHYS_3_images_A,Familiar,FALSE,A,877099747,Excitatory
878358326,CAM2P.4,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,448900,Ai94(TITL-GCaMP6s),"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",M,136,Slc17a7-IRES2-Cre,GCaMP6s,6,2,4,12,877907546,878075965,863992815,VisualBehavior,175,VISp,43615.72888,OPHYS_6_images_B,Novel >1,FALSE,B,879255318,Excitatory
939327156,CAM2P.3,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,459777,Ai93(TITL-GCaMP6f),"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",F,180,Slc17a7-IRES2-Cre,GCaMP6f,1,0,57,0,938175546,938425882,930022332,VisualBehavior,175,VISp,43712.64309,OPHYS_1_images_A,Familiar,FALSE,A,939486362,Excitatory
940852658,CAM2P.3,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,459777,Ai93(TITL-GCaMP6f),"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",F,182,Slc17a7-IRES2-Cre,GCaMP6f,3,0,59,2,940446507,940553228,930022332,VisualBehavior,175,VISp,43714.63929,OPHYS_3_images_A,Familiar,FALSE,A,940900516,Excitatory
942043482,CAM2P.3,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,459777,Ai93(TITL-GCaMP6f),"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",F,185,Slc17a7-IRES2-Cre,GCaMP6f,4,0,0,3,941300832,941457567,930022332,VisualBehavior,175,VISp,43717.64762,OPHYS_4_images_B,Novel 1,FALSE,B,942074766,Excitatory
944366183,CAM2P.3,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,459777,Ai93(TITL-GCaMP6f),"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",F,187,Slc17a7-IRES2-Cre,GCaMP6f,6,0,2,5,943299247,943479988,930022332,VisualBehavior,175,VISp,43719.64726,OPHYS_6_images_B,Novel >1,FALSE,B,944579284,Excitatory
884221469,CAM2P.4,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,456564,Ai94(TITL-GCaMP6s),"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",F,110,Slc17a7-IRES2-Cre,GCaMP6s,1,0,19,0,883509540,883696092,902748564,VisualBehavior,175,VISp,43626.71904,OPHYS_1_images_A,Familiar,FALSE,A,885382077,Excitatory
885933191,CAM2P.4,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,456564,Ai94(TITL-GCaMP6s),"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",F,112,Slc17a7-IRES2-Cre,GCaMP6s,3,0,21,2,885401643,885546697,902748564,VisualBehavior,175,VISp,43628.73307,OPHYS_3_images_A,Familiar,FALSE,A,886394426,Excitatory
889777243,CAM2P.4,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,456564,Ai94(TITL-GCaMP6s),"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",F,118,Slc17a7-IRES2-Cre,GCaMP6s,6,0,2,5,889189329,889336784,902748564,VisualBehavior,175,VISp,43634.73935,OPHYS_6_images_B,Novel >1,FALSE,B,890036196,Excitatory
935440133,CAM2P.5,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,459773,Ai93(TITL-GCaMP6f),"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",F,174,Slc17a7-IRES2-Cre,GCaMP6f,1,0,53,0,934576432,934812249,930024022,VisualBehavior,175,VISp,43706.66765,OPHYS_1_images_A,Familiar,FALSE,A,935520838,Excitatory
936494970,CAM2P.5,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,459773,Ai93(TITL-GCaMP6f),"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",F,175,Slc17a7-IRES2-Cre,GCaMP6f,3,0,54,1,935554523,935653479,930024022,VisualBehavior,175,VISp,43707.66449,OPHYS_3_images_A,Familiar,FALSE,A,936687911,Excitatory
940352367,CAM2P.5,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,459773,Ai93(TITL-GCaMP6f),"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",F,181,Slc17a7-IRES2-Cre,GCaMP6f,4,0,0,4,939520170,939533442,930024022,VisualBehavior,175,VISp,43713.64657,OPHYS_4_images_B,Novel 1,FALSE,B,940415991,Excitatory
940852112,CAM2P.5,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,459773,Ai93(TITL-GCaMP6f),"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",F,182,Slc17a7-IRES2-Cre,GCaMP6f,6,0,1,5,940447433,940628402,930024022,VisualBehavior,175,VISp,43714.64586,OPHYS_6_images_B,Novel >1,FALSE,B,940902436,Excitatory
853328115,CAM2P.4,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,447663,Ai93(TITL-GCaMP6f),"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",F,95,Slc17a7-IRES2-Cre,GCaMP6f,3,0,14,2,852794147,852966248,848390542,VisualBehavior,175,VISp,43572.66277,OPHYS_3_images_A,Familiar,FALSE,A,911495490,Excitatory
853962951,CAM2P.4,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,447663,Ai93(TITL-GCaMP6f),"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",F,96,Slc17a7-IRES2-Cre,GCaMP6f,4,0,0,3,853773937,853875514,848390542,VisualBehavior,175,VISp,43573.86403,OPHYS_4_images_B,Novel 1,FALSE,B,911495508,Excitatory
855577488,CAM2P.4,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,447663,Ai93(TITL-GCaMP6f),"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",F,100,Slc17a7-IRES2-Cre,GCaMP6f,6,0,2,5,855333357,855424348,848390542,VisualBehavior,175,VISp,43577.79972,OPHYS_6_images_B,Novel >1,FALSE,B,911495534,Excitatory
848697604,CAM2P.3,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,445270,Ai93(TITL-GCaMP6f),"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",M,96,Slc17a7-IRES2-Cre,GCaMP6f,1,0,11,0,848143026,848348215,845588020,VisualBehavior,375,VISp,43564.6783,OPHYS_1_images_A,Familiar,FALSE,A,911496730,Excitatory
856096766,CAM2P.3,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,445270,Ai93(TITL-GCaMP6f),"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",M,110,Slc17a7-IRES2-Cre,GCaMP6f,6,1,4,7,855762043,855866701,845588020,VisualBehavior,375,VISp,43578.70649,OPHYS_6_images_B,Novel >1,FALSE,B,911495688,Excitatory
864370674,CAM2P.3,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,445270,Ai93(TITL-GCaMP6f),"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",M,124,Slc17a7-IRES2-Cre,GCaMP6f,3,4,18,14,863981645,864068649,845588020,VisualBehavior,375,VISp,43592.72763,OPHYS_3_images_A,Familiar,FALSE,A,864500663,Excitatory
960957793,CAM2P.5,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,467302,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],M,173,Sst-IRES-Cre,GCaMP6f,1,1,27,1,960749169,960834330,957024596,VisualBehavior,290,VISp,43741.85532,OPHYS_1_images_A,Familiar,FALSE,A,961036449,Sst Inhibitory
962471831,CAM2P.5,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,467302,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],M,177,Sst-IRES-Cre,GCaMP6f,3,0,29,3,962206869,962346335,957024596,VisualBehavior,290,VISp,43745.85786,OPHYS_3_images_A,Familiar,FALSE,A,962674228,Sst Inhibitory
965228792,CAM2P.5,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,467302,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],M,180,Sst-IRES-Cre,GCaMP6f,4,0,0,6,964912357,965034185,957024596,VisualBehavior,290,VISp,43748.74282,OPHYS_4_images_B,Novel 1,FALSE,B,965873074,Sst Inhibitory
967005387,CAM2P.5,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,467302,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],M,184,Sst-IRES-Cre,GCaMP6f,6,0,2,8,966603493,966765494,957024596,VisualBehavior,290,VISp,43752.77681,OPHYS_6_images_B,Novel >1,FALSE,B,967049796,Sst Inhibitory
1065523118,CAM2P.4,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,544261,Ai148(TIT2L-GC6f-ICL-tTA2),['Vip-IRES-Cre'],F,126,Vip-IRES-Cre,GCaMP6f,1,0,10,0,1065382549,1065410067,1064333322,VisualBehavior,175,VISp,44158.75029,OPHYS_1_images_A,Familiar,FALSE,A,1065746200,Vip Inhibitory
1067133175,CAM2P.4,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,544261,Ai148(TIT2L-GC6f-ICL-tTA2),['Vip-IRES-Cre'],F,133,Vip-IRES-Cre,GCaMP6f,3,1,13,3,1066944927,1066971490,1064333322,VisualBehavior,175,VISp,44165.73145,OPHYS_3_images_A,Familiar,FALSE,A,1067162583,Vip Inhibitory
1067647876,CAM2P.4,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,544261,Ai148(TIT2L-GC6f-ICL-tTA2),['Vip-IRES-Cre'],F,135,Vip-IRES-Cre,GCaMP6f,4,0,0,4,1067604782,1067619789,1064333322,VisualBehavior,175,VISp,44167.93992,OPHYS_4_images_B,Novel 1,FALSE,B,1067678625,Vip Inhibitory
1071440875,CAM2P.4,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,544261,Ai148(TIT2L-GC6f-ICL-tTA2),['Vip-IRES-Cre'],F,150,Vip-IRES-Cre,GCaMP6f,6,4,7,11,1071202230,1071270468,1064333322,VisualBehavior,175,VISp,44182.75083,OPHYS_6_images_B,Novel >1,FALSE,B,1071715225,Vip Inhibitory
775614751,CAM2P.5,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,403491,Ai93(TITL-GCaMP6f),"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",F,160,Slc17a7-IRES2-Cre,GCaMP6f,1,1,44,5,775289198,775378326,782536745,VisualBehavior,375,VISp,43412.77645,OPHYS_1_images_A,Familiar,FALSE,A,945253901,Excitatory
788490510,CAM2P.5,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,403491,Ai93(TITL-GCaMP6f),"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",F,181,Slc17a7-IRES2-Cre,GCaMP6f,6,1,5,17,787661032,788017709,782536745,VisualBehavior,375,VISp,43433.6809,OPHYS_6_images_B,Novel >1,FALSE,B,945253949,Excitatory
1050406399,CAM2P.3,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,533527,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],M,120,Sst-IRES-Cre,GCaMP6f,1,0,10,0,1050246780,1050267978,1049224697,VisualBehavior,275,VISp,44088.74515,OPHYS_1_images_A,Familiar,FALSE,A,1050527979,Sst Inhibitory
