behavior_session_id,ophys_session_id,ophys_container_id,mouse_id,indicator,full_genotype,driver_line,cre_line,reporter_line,sex,age_in_days,imaging_plane_group_count,project_code,session_type,session_number,image_set,behavior_type,experience_level,prior_exposures_to_session_type,prior_exposures_to_image_set,prior_exposures_to_omissions,date_of_acquisition,equipment_name,num_depths_per_area,ophys_experiment_id,num_targeted_structures,correct_reject_trial_count,catch_trial_count,go_trial_count,miss_trial_count,trial_count,file_id,false_alarm_trial_count,engaged_trial_count,hit_trial_count,auto_reward_count,earned_reward_count,total_reward_count,total_reward_volume,maximum_reward_rate,mean_hit_rate,mean_hit_rate_uncorrected,mean_hit_rate_engaged,mean_false_alarm_rate,mean_false_alarm_rate_uncorrected,mean_false_alarm_rate_engaged,mean_dprime,mean_dprime_engaged,max_dprime,max_dprime_engaged,mean_running_speed,mean_pupil_area,mean_dff
796031509,796019065,[814796612],412366,GCaMP6f,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),F,152,,VisualBehavior,OPHYS_6_images_B,6,images_B,active_behavior,Novel >1,0,2,6,15-12-18 10:44,CAM2P.4,1,[796105304],1,15,22,150,72,755,-999,7,112,78,0,78,78,0.546,3.292915786,0.537789244,0.543118701,0.495959917,0.42351425,0.411244311,0.37649708,0.289095738,0.323583938,0.950717777,0.947984287,28.9326328,1.238306982,0.007402345
796233602,,,421136,GCaMP6f,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,['Vip-IRES-Cre'],Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),M,108,,VisualBehavior,OPHYS_1_images_A,1,images_A,active_behavior,Familiar,0,9,1,16-12-18 12:06,CAM2P.5,,,,23,31,222,129,636,5129,8,281,93,0,93,93,0.651,4.218525544,0.501898958,0.493277809,0.679192619,0.305226971,0.274116877,0.384133842,0.605734943,0.842435973,1.58107668,1.58107668,33.36380543,,
803341010,803223329,[814797528],421136,GCaMP6f,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,['Vip-IRES-Cre'],Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),M,127,,VisualBehavior,OPHYS_1_images_A,1,images_A,active_behavior,Familiar,1,14,9,04-01-19 9:50,CAM2P.5,1,[803736273],1,25,29,213,155,725,-999,4,102,58,0,58,58,0.406,2.947614021,0.33460322,0.336669335,0.363621375,0.199890953,0.219616935,0.349472991,0.499478829,0.109256913,1.029599598,0.686975155,0.014991626,1.125949197,0.024484397
798145975,,,421136,GCaMP6f,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,['Vip-IRES-Cre'],Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),M,110,,VisualBehavior,OPHYS_3_images_A,3,images_A,active_behavior,Familiar,0,11,3,18-12-18 17:05,CAM2P.5,,,,13,20,135,52,872,5131,7,161,83,0,83,83,0.581,2.632207681,0.748652786,0.745426979,0.736618549,0.460018941,0.428104047,0.426682735,0.803410625,0.857037953,1.374768784,1.344229655,30.42221223,,
798679618,,,421136,GCaMP6f,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,['Vip-IRES-Cre'],Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),M,111,,VisualBehavior,OPHYS_4_images_B,4,images_B,active_behavior,Novel 1,0,0,4,19-12-18 9:34,CAM2P.5,,,,30,35,248,190,736,5132,5,157,58,0,58,58,0.406,3.279380017,0.344886833,0.343113784,0.671235234,0.207163037,0.212179634,0.31,0.352150696,0.96075361,1.622655045,1.622655045,15.53470989,,
805373492,805269503,[814797528],421136,GCaMP6f,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,['Vip-IRES-Cre'],Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),M,131,,VisualBehavior,OPHYS_4_images_B,4,images_B,active_behavior,Novel >1,1,3,11,08-01-19 9:43,CAM2P.5,1,[805784331],1,17,22,158,94,857,-999,5,141,64,0,64,64,0.448,3.245726224,0.641891928,0.653423151,0.884184886,0.401985321,0.432766597,0.60485348,0.788794103,0.936645634,1.465233793,1.195467437,1.897038348,1.281293495,0.02663802
800202171,,,421136,GCaMP6f,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,['Vip-IRES-Cre'],Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),M,113,,VisualBehavior,OPHYS_6_images_B,6,images_B,active_behavior,Novel >1,0,2,6,21-12-18 9:31,CAM2P.5,,,,24,27,177,104,770,5134,3,141,73,0,73,73,0.511,2.717642268,0.510842008,0.50275498,0.579618188,0.174819938,0.125546104,0.152028561,1.031147787,1.265154992,1.978744989,1.757128375,8.442820751,,
808107647,808092249,[814797528],421136,GCaMP6f,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,['Vip-IRES-Cre'],Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),M,137,,VisualBehavior,OPHYS_6_images_B,6,images_B,active_behavior,Novel >1,1,5,14,14-01-19 9:41,CAM2P.5,1,[808621958],1,13,16,113,27,1027,-999,3,194,86,0,86,86,0.602,4.483181879,0.890165138,0.906164232,0.893542149,0.405649423,0.438202377,0.367209642,1.628961583,1.641987862,2.508050479,1.93011099,7.692182558,1.654406471,0.030341256
805968845,,,423606,GCaMP6s,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),M,116,,VisualBehavior,OPHYS_1_images_A,1,images_A,active_behavior,Familiar,0,15,2,09-01-19 9:44,CAM2P.4,,,,44,47,332,325,483,3879,3,0,7,0,7,7,0.049,0.829772189,0.025631252,0.019296015,,0.102937992,0.070605445,,-0.706284095,,0.059988777,,12.55758016,,
806625285,,,423606,GCaMP6s,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,"['Slc17a7-IRES2-Cre', 'Camk2a-tTA']",Slc17a7-IRES2-Cre,Ai94(TITL-GCaMP6s),M,117,,VisualBehavior,OPHYS_1_images_A,1,images_A,active_behavior,Familiar,1,16,3,10-01-19 9:46,CAM2P.4,,,,42,45,305,293,535,3880,3,0,12,0,12,12,0.084,0.740136327,0.040830507,0.033859662,,0.121335589,0.07439738,,-0.529004486,,0.325217799,,26.63869218,,
