timestamps,cell_specimen_id,dff,session_type,behavior_session_id,cre_line,pupil_area,speed
309.554,1086491370,0.153,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,15345.459,-0.001
309.587,1086491370,0.075,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,15147.548,0.005
309.619,1086491370,0.106,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,14874.528,0.01
309.651,1086491370,0.074,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,14799.043,0.005
309.684,1086491370,0.002,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,14649.52,-0.021
309.716,1086491370,0.036,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,14702.003,-0.065
309.748,1086491370,0.089,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,14687.108,-0.096
309.781,1086491370,-0.018,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,14353.95,-0.087
309.813,1086491370,0.082,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,14061.068,-0.039
309.845,1086491370,0.034,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,14061.857,0.028
309.878,1086491370,0.008,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,13959.446,0.072
309.91,1086491370,-0.082,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,14238.926,0.068
309.942,1086491370,0.018,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,13948.916,0.03
309.974,1086491370,0.109,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,14025.646,-0.012
310.007,1086491370,0.15,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,14338.923,-0.029
310.039,1086491370,0.067,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,13974.893,-0.013
310.071,1086491370,-0.013,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,13997.916,0.019
310.104,1086491370,-0.061,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,13972.511,0.043
310.136,1086491370,0.066,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,13499.995,0.061
310.168,1086491370,0.004,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,13368.64,0.082
310.201,1086491370,-0.091,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,13596.74,0.095
310.233,1086491370,0.063,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,13393.5,0.076
310.265,1086491370,0.036,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,13105.094,0.019
310.298,1086491370,-0.052,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,13065.143,-0.052
310.33,1086491370,0.027,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,13122.118,-0.118
310.362,1086491370,-0.058,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12865.186,-0.171
310.394,1086491370,-0.115,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12527.968,-0.185
310.427,1086491370,-0.042,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12480.661,-0.136
310.459,1086491370,-0.038,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12404.174,-0.043
310.491,1086491370,-0.131,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12473.553,0.039
310.524,1086491370,-0.077,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12424.283,0.08
310.556,1086491370,-0.032,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12581.514,0.098
310.588,1086491370,-0.085,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12381.368,0.116
310.621,1086491370,-0.023,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12368.088,0.114
310.653,1086491370,-0.119,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12542.277,0.077
310.685,1086491370,-0.049,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12401.942,0.011
310.718,1086491370,0.016,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12290.55,-0.069
310.75,1086491370,-0.01,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12474.684,-0.145
310.782,1086491370,0.048,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12404.373,-0.178
310.815,1086491370,-0.025,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12304.001,-0.14
310.847,1086491370,0.089,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12467.351,-0.042
310.879,1086491370,0.101,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12292.479,0.079
310.911,1086491370,0.208,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12360.255,0.187
310.944,1086491370,0.071,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12403.619,0.239
310.976,1086491370,0.111,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12370.387,0.207
311.008,1086491370,0.188,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12449.271,0.109
311.041,1086491370,0.051,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12140.891,-0.015
311.073,1086491370,0.074,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12098.564,-0.127
311.105,1086491370,0.047,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12137.771,-0.195
311.138,1086491370,0.104,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12157.554,-0.205
311.17,1086491370,0.077,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12124.797,-0.161
311.202,1086491370,0.022,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12093.989,-0.079
311.235,1086491370,-0.091,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12018.027,0.013
311.267,1086491370,0.015,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12207.431,0.079
311.299,1086491370,-0.007,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12115.944,0.099
311.331,1086491370,-0.073,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,11968.554,0.084
311.364,1086491370,-0.033,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,11956.335,0.049
311.396,1086491370,0.003,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,11903.059,0.001
311.428,1086491370,-0.052,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12007.802,-0.051
311.461,1086491370,0.018,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12164.11,-0.095
311.493,1086491370,-0.036,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,12045.317,-0.115
311.525,1086491370,0.092,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,11875.305,-0.079
311.558,1086491370,0.218,OPHYS_6_images_B,1008881178,Sst-IRES-Cre,11828.157,0.013
