experience_level,behavior_session_id,cre_line,session_type,mouse_id
,"[774937388, 775378326, 778980920, 779818630, 780758836, 791257562, 782380778, 784156661, 785426306, 791749028, 792499741, 786920476, 788017709]",,,403491.0
,"[792680306, 794968300, 795742990, 796251270]",,,412036.0
,"[792477679, 794071128, 794673280, 796031509]",,,412366.0
,"[796233602, 803341010, 798145975, 798679618, 805373492, 800202171, 808107647]",,,421136.0
,"[805968845, 806625285, 817925173, 821521826, 808126003, 822995693, 808761500, 824625446, 809606861, 812843373, 815011426, 825801398]",,,423606.0
,"[806109931, 807356557, 808324301, 809358811, 812955256, 816417578]",,,425493.0
,"[806296598, 807584876, 808432167, 809427293]",,,425496.0
,"[825888541, 826697158, 827374757, 835820832, 829578829, 830832988, 831824426, 832981154]",,,429952.0
,"[815045874, 821931655, 822439453, 823254723, 816394256, 824894721, 817165094, 818007489, 820124540]",,,431023.0
,"[830419451, 831905148, 833100683, 833946929, 834928595, 835940015]",,,431252.0
,"[848599542, 849648618, 850985993, 852440775, 853496105]",,,436662.0
,"[842729895, 844164376, 844849972, 853526948, 845441512, 846929750]",,,440298.0
,"[842346969, 842812730, 844027599, 844649493, 846011320]",,,442709.0
,"[848613406, 849651275, 850989832, 852451567]",,,445002.0
,"[848348215, 849494762, 856467236, 858029487, 858967789, 864068649, 853025613, 857367017, 859793880, 860533862, 852229360, 855866701]",,,445270.0
,"[851471401, 857340041, 858974731, 868070216, 868658294, 869559097, 852966248, 853875514, 855424348]",,,447663.0
,"[865980470, 872621004, 873846349, 868064132, 876660021, 868546775, 870550054, 877605088, 878075965]",,,448900.0
,"[875020189, 876510663, 878703444, 877878435, 879846624, 881210695, 882669474]",,,449441.0
,"[869334643, 870592115, 871808394, 872626160, 873695653, 874699922, 875440936, 877617747, 878120101, 879037269, 880784794]",,,450471.0
,"[880780889, 881427978, 882827577, 885739915, 886446971, 887236947, 888301437, 884888379, 889559462, 891792255, 892663103, 893600606]",,,453913.0
,"[883696092, 885546697, 887011359, 891632590, 892516916, 893429557, 895134854, 895804638, 889336784, 890683992]",,,456564.0
,"[889175194, 891446789, 892387261, 894083470]",,,456916.0
,"[889388078, 891605682, 892526544, 894368064]",,,456917.0
,"[943979277, 945147410, 946065801, 947329225, 948268536, 949404352, 951662735, 952837870, 954107968, 954963038, 956269097, 957387951]",,,457766.0
,"[934812249, 937395157, 935653479, 939533442, 940628402, 941425961]",,,459773.0
,"[938425882, 940553228, 941457567, 943479988, 944823947]",,,459777.0
,"[960021127, 960834330, 963237068, 964109496, 962346335, 965034185, 966765494]",,,467302.0
,"[935129110, 937783930, 938789129, 940017421, 941891140, 944950609, 947311015, 948206919, 949337508, 950157787, 952746230]",,,468866.0
,"[972429310, 973350755, 974140453, 974606492, 976012750, 976623704]",,,479426.0
,"[1006931469, 1007247990, 1008030870, 1008881178]",,,495789.0
,"[1052517136, 1053566913, 1053932830, 1054723429]",,,523927.0
,"[1042294199, 1042542860, 1043786075, 1044011835, 1044602299]",,,524274.0
,"[1050267978, 1050970990, 1051142682, 1051341605, 1052130442, 1052327057]",,,533527.0
,"[1065418558, 1065864253, 1066967257, 1067611874, 1068092571, 1069251048]",,,538219.0
,"[1065410067, 1066062571, 1066971490, 1067619789, 1068072446, 1069754075, 1070628235, 1071017498, 1071270468]",,,544261.0
,"[1081479282, 1082339563, 1082762804, 1083001647, 1084262448]",,,546819.0
,"[1083217187, 1084251686, 1084412566, 1084914230, 1085690095, 1085981495]",,,549976.0
